Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
"Margana Suwarno, S.Gz",4,6,SMA,Bambu,Semen,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"Hj. Paramita Hutasoit, M.M.",5,4,SD,Kayu,Semen,Genteng,3.5,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Ifa Suartini,10,3,Tidak Sekolah,Tembok,Keramik,Seng,0.45,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Hardana Rahimah,10,3,D3,Bambu,Kayu,Genteng,1.3,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Eli Wulandari,7,6,SMP,Tembok,Kayu,Genteng,6.6,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Cemani Saragih,2,6,D3,Tembok,Semen,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan C
"Tantri Nasyidah, S.Farm",1,4,D3,Bambu,Semen,Seng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Parman Yuniar, S.Pt",2,5,D3,Kayu,Semen,Asbes,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Cut Rina Megantara, S.Pt",7,5,D3,Bambu,Semen,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Janet Widiastuti, M.Kom.",6,6,S3,Kayu,Semen,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan D
drg. Eja Widiastuti,5,7,S3,Kayu,Keramik,Genteng,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Nardi Nuraini,6,7,Tidak Sekolah,Bambu,Tanah,Genteng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"Elma Yuniar, S.Ked",7,6,SMP,Tembok,Semen,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Bambang Prayoga,6,3,S2,Kayu,Semen,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Hamima Saefullah,6,2,S3,Bambu,Semen,Seng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Oliva Riyanti, M.Ak",10,6,S1,Kayu,Semen,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Ir. Bajragin Damanik,9,2,S3,Kayu,Keramik,Asbes,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
"Raditya Narpati, S.T.",4,4,SMP,Bambu,Kayu,Seng,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Tugiman Saputra,8,6,S3,Tembok,Keramik,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Xanana Pratiwi, S.Pd",3,6,Tidak Sekolah,Tembok,Keramik,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"KH. Dadi Prakasa, S.E.I",7,1,S3,Tembok,Tanah,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Dagel Kuswoyo,6,5,D3,Bambu,Tanah,Seng,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Ir. Damar Nainggolan,9,6,S3,Bambu,Semen,Asbes,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Lantar Suwarno,10,3,S1,Kayu,Keramik,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Ulva Kurniawan,5,4,D3,Kayu,Semen,Seng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
"Darmanto Thamrin, M.Farm",1,4,SD,Tembok,Keramik,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Putri Natsir,9,4,SD,Bambu,Semen,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Ir. Tania Januar,6,3,Tidak Sekolah,Bambu,Keramik,Asbes,1.3,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
R.A. Irma Yulianti,2,7,D3,Kayu,Keramik,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
"Eko Prakasa, S.H.",9,2,SMP,Kayu,Semen,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Ifa Winarsih,6,7,S3,Tembok,Semen,Genteng,6.6,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Galiono Riyanti,10,0,SMP,Kayu,Keramik,Seng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Tgk. Nurul Saptono,8,3,S3,Bambu,Tanah,Seng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"Kemal Januar, S.Pd",5,0,S1,Bambu,Kayu,Asbes,6.6,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Tania Sudiati,1,1,D3,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"KH. Bagya Siregar, S.Ked",5,5,S3,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Jessica Hardiansyah,6,1,S1,Bambu,Keramik,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"drg. Martana Hidayat, S.I.Kom",1,5,D3,Kayu,Tanah,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Drs. Oskar Budiyanto,7,0,D3,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
"Ir. Farah Waskita, S.I.Kom",1,2,SMP,Tembok,Kayu,Asbes,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Ratih Sihombing,10,0,D3,Bambu,Tanah,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Dr. Silvia Maryati, S.Gz",7,7,SD,Kayu,Tanah,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Dr. Halim Mardhiyah, M.Pd",4,7,SMP,Bambu,Kayu,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"Sari Nasyiah, M.Kom.",4,5,S3,Kayu,Kayu,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Wardi Hutagalung,1,1,Tidak Sekolah,Bambu,Semen,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Nilam Wijayanti,6,3,SMA,Tembok,Tanah,Seng,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
Ir. Nadia Widodo,2,4,S3,Kayu,Tanah,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Praba Maheswara,9,3,SD,Bambu,Semen,Seng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Kartika Susanti,4,5,SMA,Tembok,Kayu,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Luluh Firgantoro,3,5,D3,Kayu,Keramik,Asbes,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Dt. Empluk Marpaung,7,0,S1,Bambu,Semen,Genteng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Juli Thamrin,8,4,SMP,Bambu,Keramik,Seng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Kamal Uwais,1,4,SMA,Bambu,Keramik,Seng,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"dr. Balidin Thamrin, M.TI.",3,0,SMP,Tembok,Semen,Rumbia,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan A
Nadia Irawan,1,7,SD,Tembok,Keramik,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Zaenab Najmudin,4,4,S1,Bambu,Semen,Seng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Sutan Xanana Prayoga,8,2,S1,Tembok,Semen,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"Elma Fujiati, S.T.",1,4,D3,Bambu,Keramik,Genteng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Devi Prasasta,8,3,S1,Kayu,Keramik,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
Pia Winarsih,3,2,S2,Tembok,Kayu,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Cici Sudiati,4,1,SD,Tembok,Keramik,Genteng,0.45,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Anggabaya Sitompul,1,4,D3,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Bella Aryani, S.E.",8,2,Tidak Sekolah,Tembok,Keramik,Asbes,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Gantar Maheswara,9,6,SD,Kayu,Keramik,Seng,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan B
Salman Simanjuntak,2,7,SD,Bambu,Kayu,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
"Ajimin Rajata, M.TI.",4,5,SD,Bambu,Semen,Seng,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"Jais Ramadan, S.I.Kom",4,0,S2,Tembok,Tanah,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Budi Yuliarti,6,6,SMA,Kayu,Kayu,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Arta Mandasari, M.Ak",7,1,D3,Kayu,Semen,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Agnes Mustofa,9,2,S2,Bambu,Keramik,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Kanda Putra,5,2,SMA,Tembok,Kayu,Asbes,0.45,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Ajiman Hutapea,1,5,Tidak Sekolah,Tembok,Kayu,Rumbia,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Cut Chelsea Santoso, S.E.I",6,1,S1,Tembok,Keramik,Asbes,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Intan Lailasari, M.Ak",2,3,D3,Bambu,Keramik,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Puti Palastri,10,7,SMP,Bambu,Kayu,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
"R.A. Yessi Hidayat, S.Psi",6,0,SD,Tembok,Tanah,Seng,1.3,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Edward Samosir,5,2,S2,Bambu,Kayu,Genteng,0.45,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Drs. Hesti Prasasta, S.Farm",7,4,S2,Tembok,Semen,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"Samiah Mangunsong, M.Kom.",6,4,S2,Kayu,Semen,Seng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
drg. Dewi Wulandari,8,3,S3,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"R. Liman Pertiwi, M.TI.",4,1,SMP,Bambu,Tanah,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
Bakidin Zulaika,10,7,S3,Tembok,Kayu,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"Icha Saefullah, M.TI.",6,1,S2,Kayu,Semen,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
"Wirda Sinaga, S.E.",5,3,S1,Kayu,Keramik,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
R. Chelsea Yuniar,8,7,SD,Bambu,Semen,Asbes,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Lutfan Nababan,5,3,S1,Tembok,Kayu,Seng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
R. Ellis Uwais,6,3,S1,Tembok,Keramik,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Caraka Astuti,4,0,S3,Kayu,Keramik,Genteng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Ir. Bahuwarna Safitri, S.Sos",5,5,S2,Tembok,Keramik,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
Cut Chelsea Permata,7,7,S3,Bambu,Tanah,Asbes,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Ir. Tari Thamrin,1,5,S1,Kayu,Tanah,Seng,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Hesti Uwais,9,3,SD,Kayu,Tanah,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Johan Pudjiastuti,8,0,SMA,Tembok,Tanah,Seng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Hamima Pradana, S.Farm",2,3,D3,Tembok,Semen,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Jono Suryatmi, S.Sos",10,3,S1,Kayu,Semen,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Cut Aurora Hartati, S.H.",2,5,SMA,Bambu,Tanah,Rumbia,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan B
Usyi Ardianto,3,2,SD,Kayu,Tanah,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Kacung Marpaung,4,2,SD,Tembok,Semen,Asbes,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Cagak Maryadi,8,7,S1,Kayu,Semen,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Mulyono Wijayanti,7,2,Tidak Sekolah,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Tina Saragih,6,6,S1,Bambu,Keramik,Asbes,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Laras Maryadi,2,5,SMP,Kayu,Semen,Seng,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Dr. Nilam Hutagalung,2,7,SMP,Bambu,Kayu,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
Hani Haryanti,3,7,SMA,Kayu,Kayu,Seng,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Puti Mandala,1,5,Tidak Sekolah,Kayu,Keramik,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Cakrawangsa Jailani,2,5,D3,Kayu,Semen,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
"Rahmi Sitompul, S.Pt",7,0,Tidak Sekolah,Kayu,Semen,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Kasusra Rahimah,4,2,S2,Kayu,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Bella Prayoga,7,4,SMP,Kayu,Tanah,Asbes,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
"dr. Kunthara Anggriawan, M.Kom.",1,1,S1,Kayu,Keramik,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Safina Mansur,4,7,SMA,Tembok,Tanah,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Hj. Tania Siregar,5,3,D3,Bambu,Semen,Seng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Malik Prasetyo,7,2,D3,Tembok,Kayu,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Kalim Marpaung, S.Farm",6,2,S1,Kayu,Semen,Genteng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Wisnu Sitompul,4,0,SMP,Kayu,Semen,Genteng,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Salwa Aryani, S.Psi",10,6,SMA,Tembok,Keramik,Rumbia,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Septi Pratiwi,3,3,SMA,Tembok,Semen,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan C
"Fitriani Nugroho, S.I.Kom",10,3,SD,Bambu,Semen,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Rangga Siregar,9,3,SD,Kayu,Tanah,Asbes,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Baktiadi Latupono,9,2,D3,Bambu,Kayu,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Dr. Intan Rahmawati,9,0,S2,Kayu,Kayu,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Devi Hastuti,2,6,S3,Bambu,Kayu,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
T. Garan Padmasari,7,0,S3,Kayu,Keramik,Seng,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Drs. Latif Mayasari,9,1,SMP,Bambu,Kayu,Seng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"drg. Kasiyah Sihotang, S.Gz",9,2,S1,Bambu,Kayu,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Ir. Daliman Wijaya,8,0,S1,Tembok,Kayu,Asbes,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Iriana Lazuardi,3,1,SMP,Bambu,Keramik,Seng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Paiman Wijayanti,6,1,Tidak Sekolah,Bambu,Tanah,Genteng,3.5,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Chelsea Tampubolon,10,1,SMP,Tembok,Keramik,Seng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
drg. Jaiman Maryati,8,4,Tidak Sekolah,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
T. Capa Winarsih,3,7,D3,Tembok,Keramik,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Usyi Narpati,1,2,S2,Bambu,Semen,Seng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Sadina Uyainah,5,1,SMP,Kayu,Keramik,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Dt. Umaya Wulandari,7,7,S2,Bambu,Semen,Seng,1.3,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Olga Uyainah,8,1,S1,Tembok,Kayu,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Puti Chelsea Siregar,5,7,S2,Tembok,Kayu,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Teddy Marbun,7,4,SMA,Tembok,Tanah,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Tgk. Maimunah Utama,9,4,D3,Bambu,Kayu,Asbes,1.3,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Jasmani Situmorang,7,1,D3,Kayu,Keramik,Rumbia,1.3,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Tgk. Vivi Palastri, S.E.I",7,0,SMA,Kayu,Semen,Asbes,6.6,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Adiarja Palastri,3,4,SD,Tembok,Tanah,Asbes,1.3,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Dalima Pradana,4,3,S2,Bambu,Semen,Genteng,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Dacin Adriansyah,8,5,S3,Tembok,Tanah,Genteng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan C
Jono Suartini,4,3,Tidak Sekolah,Bambu,Keramik,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Betania Januar,6,3,SMP,Kayu,Semen,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Zamira Yulianti,8,3,S2,Kayu,Kayu,Asbes,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Ganjaran Hartati,10,5,D3,Bambu,Tanah,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Salsabila Pertiwi,2,1,SMP,Bambu,Kayu,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
R.M. Luwes Oktaviani,10,5,Tidak Sekolah,Bambu,Keramik,Rumbia,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Vanesa Prasetyo,1,3,SD,Bambu,Kayu,Asbes,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Muni Mandasari,3,7,D3,Tembok,Kayu,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
dr. Belinda Firgantoro,6,4,SMA,Kayu,Keramik,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Dt. Yahya Budiman,2,7,S3,Kayu,Tanah,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Yessi Jailani,7,2,SD,Bambu,Semen,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"Jaka Pudjiastuti, S.Pt",6,3,Tidak Sekolah,Kayu,Tanah,Seng,3.5,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Maria Nashiruddin, S.Farm",3,3,SMP,Tembok,Semen,Genteng,0.45,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Dt. Yahya Tampubolon,3,2,SMP,Bambu,Tanah,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Umay Nainggolan,5,4,SMA,Kayu,Keramik,Seng,0.45,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"drg. Iriana Kurniawan, S.Farm",7,0,D3,Kayu,Semen,Seng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Vivi Maheswara,6,0,D3,Bambu,Tanah,Seng,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
Tgk. Hesti Hidayat,8,3,SMA,Tembok,Tanah,Genteng,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
R.M. Kambali Prasasta,5,0,D3,Bambu,Semen,Seng,1.3,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
